Name,Roaster,Price,Quantity,Roast_Level,Tasting_Notes,Origin,Process,Desc,URL,Image_URL,Category
ODD Dark Roast Cold Brew | No Equipment Needed,Odd Coffee Roasters,540.0,5g,Medium Roast,,,Natural,"Dark Roast SIGNATURE TASTE | CHOCOLATY | NUTTY A chocolatety, nutty and signature taste blend of roasted Arabica and premium Robustas 100% Natural No Preservatives Nutty Flavor Medium Roast How to Brew Open 1 ODD Brew Bag Dip it in 500ml of water Steep it in your fridge (12 to 48 hours) Remove the bag and enjoy",https://oddcoffee.in/products/odd-dark-roast-cold-brew-no-equipment-needed,https://cdn.shopify.com/s/files/1/0624/2674/3014/files/ChatGPT_Image_Dec_23_2025_04_23_46_PM.png?v=1766487252,Quick Brews
ODD Dark Roast Cold Brew | No Equipment Needed,Odd Coffee Roasters,1039.0,10g,Medium Roast,,,Natural,"Dark Roast SIGNATURE TASTE | CHOCOLATY | NUTTY A chocolatety, nutty and signature taste blend of roasted Arabica and premium Robustas 100% Natural No Preservatives Nutty Flavor Medium Roast How to Brew Open 1 ODD Brew Bag Dip it in 500ml of water Steep it in your fridge (12 to 48 hours) Remove the bag and enjoy",https://oddcoffee.in/products/odd-dark-roast-cold-brew-no-equipment-needed,https://cdn.shopify.com/s/files/1/0624/2674/3014/files/ChatGPT_Image_Dec_23_2025_04_23_46_PM.png?v=1766487252,Quick Brews
ODD Dark Roast Cold Brew | No Equipment Needed,Odd Coffee Roasters,1529.0,15g,Medium Roast,,,Natural,"Dark Roast SIGNATURE TASTE | CHOCOLATY | NUTTY A chocolatety, nutty and signature taste blend of roasted Arabica and premium Robustas 100% Natural No Preservatives Nutty Flavor Medium Roast How to Brew Open 1 ODD Brew Bag Dip it in 500ml of water Steep it in your fridge (12 to 48 hours) Remove the bag and enjoy",https://oddcoffee.in/products/odd-dark-roast-cold-brew-no-equipment-needed,https://cdn.shopify.com/s/files/1/0624/2674/3014/files/ChatGPT_Image_Dec_23_2025_04_23_46_PM.png?v=1766487252,Quick Brews
ODD Turkish Hazelnut Cold Brew | No Equipment Needed,Odd Coffee Roasters,540.0,5g,Medium Roast,Medium,,Natural,"Medium Roast SIGNATURE TASTE | CHOCOLATY | NUTTY A chocolatety, nutty and signature taste blend of roasted Arabica and premium Robustas added hazelnut flavour 100% Natural No Preservatives Nutty Flavor Medium Roast How to Brew Open 1 ODD Brew Bag Dip it in 500ml of water Steep it in your fridge (12 to 48 hours) Remove the bag and enjoy",https://oddcoffee.in/products/odd-hazelnut-cold-brew-no-equipment-needed-copy,https://cdn.shopify.com/s/files/1/0624/2674/3014/files/ChatGPT_Image_Dec_23_2025_04_19_49_PM.png?v=1766487052,Quick Brews
ODD Turkish Hazelnut Cold Brew | No Equipment Needed,Odd Coffee Roasters,1039.0,10g,Medium Roast,Medium,,Natural,"Medium Roast SIGNATURE TASTE | CHOCOLATY | NUTTY A chocolatety, nutty and signature taste blend of roasted Arabica and premium Robustas added hazelnut flavour 100% Natural No Preservatives Nutty Flavor Medium Roast How to Brew Open 1 ODD Brew Bag Dip it in 500ml of water Steep it in your fridge (12 to 48 hours) Remove the bag and enjoy",https://oddcoffee.in/products/odd-hazelnut-cold-brew-no-equipment-needed-copy,https://cdn.shopify.com/s/files/1/0624/2674/3014/files/ChatGPT_Image_Dec_23_2025_04_19_49_PM.png?v=1766487052,Quick Brews
ODD Turkish Hazelnut Cold Brew | No Equipment Needed,Odd Coffee Roasters,1529.0,15g,Medium Roast,Medium,,Natural,"Medium Roast SIGNATURE TASTE | CHOCOLATY | NUTTY A chocolatety, nutty and signature taste blend of roasted Arabica and premium Robustas added hazelnut flavour 100% Natural No Preservatives Nutty Flavor Medium Roast How to Brew Open 1 ODD Brew Bag Dip it in 500ml of water Steep it in your fridge (12 to 48 hours) Remove the bag and enjoy",https://oddcoffee.in/products/odd-hazelnut-cold-brew-no-equipment-needed-copy,https://cdn.shopify.com/s/files/1/0624/2674/3014/files/ChatGPT_Image_Dec_23_2025_04_19_49_PM.png?v=1766487052,Quick Brews
ODD Killa Vanilla Cold Brew | No Equipment Needed,Odd Coffee Roasters,540.0,5g,Medium Roast,Medium,,Natural,"Medium Roast SIGNATURE TASTE | CHOCOLATY | NUTTY A chocolatey, nutty and signature taste blend of roasted Arabica and premium Robustas added vanilla flavour 100% Natural No Preservatives Nutty Flavor Medium Roast How to Brew Open 1 ODD Brew Bag Dip it in 500ml of water Steep it in your fridge (12 to 48 hours) Remove the bag and enjoy",https://oddcoffee.in/products/odd-killa-vanilla-cold-brew-no-equipment-needed,https://cdn.shopify.com/s/files/1/0624/2674/3014/files/ChatGPTImageDec23_2025_04_27_27PM.png?v=1766487484,Quick Brews
ODD Killa Vanilla Cold Brew | No Equipment Needed,Odd Coffee Roasters,1039.0,10g,Medium Roast,Medium,,Natural,"Medium Roast SIGNATURE TASTE | CHOCOLATY | NUTTY A chocolatey, nutty and signature taste blend of roasted Arabica and premium Robustas added vanilla flavour 100% Natural No Preservatives Nutty Flavor Medium Roast How to Brew Open 1 ODD Brew Bag Dip it in 500ml of water Steep it in your fridge (12 to 48 hours) Remove the bag and enjoy",https://oddcoffee.in/products/odd-killa-vanilla-cold-brew-no-equipment-needed,https://cdn.shopify.com/s/files/1/0624/2674/3014/files/ChatGPTImageDec23_2025_04_27_27PM.png?v=1766487484,Quick Brews
ODD Killa Vanilla Cold Brew | No Equipment Needed,Odd Coffee Roasters,1529.0,15g,Medium Roast,Medium,,Natural,"Medium Roast SIGNATURE TASTE | CHOCOLATY | NUTTY A chocolatey, nutty and signature taste blend of roasted Arabica and premium Robustas added vanilla flavour 100% Natural No Preservatives Nutty Flavor Medium Roast How to Brew Open 1 ODD Brew Bag Dip it in 500ml of water Steep it in your fridge (12 to 48 hours) Remove the bag and enjoy",https://oddcoffee.in/products/odd-killa-vanilla-cold-brew-no-equipment-needed,https://cdn.shopify.com/s/files/1/0624/2674/3014/files/ChatGPTImageDec23_2025_04_27_27PM.png?v=1766487484,Quick Brews
ODD Classic Cold Brew | No Equipment Needed,Odd Coffee Roasters,540.0,5g,Medium Roast,Medium,,Natural,"Medium Roast SIGNATURE TASTE | CHOCOLATY | NUTTY A chocolatety, nutty and signature taste blend of roasted Arabica and premium Robustas 100% Natural No Preservatives Nutty Flavor Medium Roast How to Brew Open 1 ODD Brew Bag Dip it in 500ml of water Steep it in your fridge (12 to 48 hours) Remove the bag and enjoy",https://oddcoffee.in/products/odd-cold-brew-no-equipment-needed-pack-of-5-brew-bags-brews-upto-15-cups,https://cdn.shopify.com/s/files/1/0624/2674/3014/files/Cold_Brew_Pour_Over_Bags.png?v=1766487020,Quick Brews
ODD Classic Cold Brew | No Equipment Needed,Odd Coffee Roasters,1039.0,10g,Medium Roast,Medium,,Natural,"Medium Roast SIGNATURE TASTE | CHOCOLATY | NUTTY A chocolatety, nutty and signature taste blend of roasted Arabica and premium Robustas 100% Natural No Preservatives Nutty Flavor Medium Roast How to Brew Open 1 ODD Brew Bag Dip it in 500ml of water Steep it in your fridge (12 to 48 hours) Remove the bag and enjoy",https://oddcoffee.in/products/odd-cold-brew-no-equipment-needed-pack-of-5-brew-bags-brews-upto-15-cups,https://cdn.shopify.com/s/files/1/0624/2674/3014/files/Cold_Brew_Pour_Over_Bags.png?v=1766487020,Quick Brews
ODD Classic Cold Brew | No Equipment Needed,Odd Coffee Roasters,1529.0,15g,Medium Roast,Medium,,Natural,"Medium Roast SIGNATURE TASTE | CHOCOLATY | NUTTY A chocolatety, nutty and signature taste blend of roasted Arabica and premium Robustas 100% Natural No Preservatives Nutty Flavor Medium Roast How to Brew Open 1 ODD Brew Bag Dip it in 500ml of water Steep it in your fridge (12 to 48 hours) Remove the bag and enjoy",https://oddcoffee.in/products/odd-cold-brew-no-equipment-needed-pack-of-5-brew-bags-brews-upto-15-cups,https://cdn.shopify.com/s/files/1/0624/2674/3014/files/Cold_Brew_Pour_Over_Bags.png?v=1766487020,Quick Brews
Monsooned Malabar Medium Dark Roast Pour Over Bags | No Equipment Needed (10 Cups),Odd Coffee Roasters,499.0,,Medium-Dark Roast,Medium Dark,Malabar Coast,,"Medium Dark Roast EARTHY | BAKER'S CHOCOLATE An intensely flavourful, baker’s chocolate and earthy blend of medium dark roasted AA Arabica Beans. Kick start your - with musty-earth aroma. 100% Arabica No Preservatives Earthy Flavor Medium Dark Roast",https://oddcoffee.in/products/monsooned-malabar-pour-over-bags,https://cdn.shopify.com/s/files/1/0624/2674/3014/files/1.2.png?v=1761822543,Quick Brews
"ODD Coffee Pour Over Bags| Pack of 2 | Makes 20 Cups | House Blend Medium Roast, OL' Smoky Dark Roast",Odd Coffee Roasters,899.0,,Medium Roast,× Freshly,,,"× Freshly Roasted House Blend Medium Roast, OL' Smoky Dark Roast About this item 100% Arabica (MIX of 60% premium Arabica & 40% premium robustas) Nutty, Chocolaty flavor & Smoky Flavor Fruity Flavor No Preservatives Medium Roast Dark Roast 3 Step Brew - No Equipment Required",https://oddcoffee.in/products/odd-coffee-pour-over-bags-pack-of-2-makes-20-cups-house-blend-medium-roast-ol-smoky-dark-roast,https://cdn.shopify.com/s/files/1/0624/2674/3014/files/House_OL_SmokyBlendBox.png?v=1755772154,Quick Brews
"ODD Coffee Pour Over Bags| Pack of 2 | Makes 20 Cups | House Blend Medium Roast, Breakfast Blend Light Roast",Odd Coffee Roasters,849.0,,Light Roast,× Freshly,,,"× Freshly Roasted House Blend Medium Roast, Breakfast Blend Light Roast About this item 100% Arabica (MIX of 60% premium Arabica & 40% premium robustas) Nutty & Chocolaty flavor Fruity Flavor No Preservatives Light Roast Medium Roast 3 Step Brew - No Equipment Required",https://oddcoffee.in/products/odd-coffee-pour-over-bags-pack-of-2-makes-20-cups-house-blend-medium-roast-breakfast-blend-light-roast,https://cdn.shopify.com/s/files/1/0624/2674/3014/files/Breakfast_HouseBlendBox.png?v=1755772170,Quick Brews
"ODD Coffee Pour Over Bags| Pack of 3 | Makes 30 Cups | House Blend Medium Roast, OL' Smoky Dark Roast, Breakfast Blend Light Roast",Odd Coffee Roasters,1199.0,,Light Roast,× Freshly,,,"× Freshly Roasted House Blend Medium Roast, OL' Smoky Dark Roast, Breakfast Blend Light Roast About this item 100% Arabica (MIX of 60% premium Arabica & 40% premium robustas) Nutty, Chocolaty flavor & Smoky Flavor Fruity Flavor No Preservatives Light Roast Medium Roast Dark Roast 3 Step Brew - No Equipment Required",https://oddcoffee.in/products/odd-coffee-pour-over-bags-pack-of-3-makes-30-cups-house-blend-medium-roast-ol-smoky-dark-roast-breakfast-blend-light-roast-1,https://cdn.shopify.com/s/files/1/0624/2674/3014/files/Breakfast_House_OL_SmokyBlendBox.png?v=1755772321,Quick Brews
"ODD Coffee Pack of 3 | House Blend Medium Roast Beans, OL' Smoky Dark Roast Beans, Breakfast Blend Light Roast Beans",Odd Coffee Roasters,1399.0,,Light Roast,× Freshly,,,"× Freshly Roasted House Blend Medium Roast Beans, OL' Smoky Dark Roast Beans, Breakfast Blend Light Roast Beans About this item 100% Arabica (MIX of 60% premium Arabica & 40% premium robustas) Nutty, Chocolaty flavor & Smoky Flavor Fruity Flavor No Preservatives Light Roast Medium Roast Dark Roast",https://oddcoffee.in/products/odd-coffee-pack-of-3-whole-beans-house-blend-medium-roast-beans-ol-smoky-dark-roast-beans-breakfast-blend-light-roast-beans,https://cdn.shopify.com/s/files/1/0624/2674/3014/files/Breakfast_House_OL_SmokyBlend.png?v=1755772340,Coffee
"ODD Coffee Pack of 3 | House Blend Medium Roast Beans, OL' Smoky Dark Roast Beans, Breakfast Blend Light Roast Beans",Odd Coffee Roasters,1399.0,,Light Roast,× Freshly,,,"× Freshly Roasted House Blend Medium Roast Beans, OL' Smoky Dark Roast Beans, Breakfast Blend Light Roast Beans About this item 100% Arabica (MIX of 60% premium Arabica & 40% premium robustas) Nutty, Chocolaty flavor & Smoky Flavor Fruity Flavor No Preservatives Light Roast Medium Roast Dark Roast",https://oddcoffee.in/products/odd-coffee-pack-of-3-whole-beans-house-blend-medium-roast-beans-ol-smoky-dark-roast-beans-breakfast-blend-light-roast-beans,https://cdn.shopify.com/s/files/1/0624/2674/3014/files/Breakfast_House_OL_SmokyBlend.png?v=1755772340,Coffee
